Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population ages 00-14, total",SP.POP.0014.TO,Aruba,ABW,23553,23970,24290,24520,24644,24651,24550,24241,23758,23254,22713,22126,21594,21143,20693,20248,19695,19089,18607,18245,18010,17968,17978,17946,17905,17754,17468,17097,16779,16799,17453,18796,19726,19917,20057,20040,19972,20038,20227,20508,20721,20750,20654,20489,20269,20180,20307,20503,20707,20885,20819,20486,20154,19906,19730,19600,19477,19332,19147,18912,18494,17898,17287,16698
"Population ages 00-14, total",SP.POP.0014.TO,Australia,AUS,3102729,3165645,3228925,3274289,3324362,3372215,3430332,3450329,3487226,3543368,3599427,3705100,3748873,3770291,3819869,3811051,3784571,3760568,3739221,3717802,3709891,3722402,3743142,3746087,3735117,3720536,3702925,3693234,3703187,3729396,3758588,3787510,3814252,3832361,3852178,3874592,3896004,3909517,3918837,3931994,3946041,3962039,3968117,3973231,3976103,3985940,4004612,4047567,4100811,4158640,4198448,4238161,4304760,4377142,4439583,4501357,4569485,4635819,4688138,4732153,4755814,4719265,4729430,4789522
"Population ages 00-14, total",SP.POP.0014.TO,Austria,AUT,1553750,1589681,1616107,1639050,1667652,1698386,1729722,1760843,1787157,1807608,1819711,1824378,1823242,1813470,1793123,1761187,1721547,1678602,1631230,1582480,1541793,1512107,1480906,1444034,1410870,1384368,1363321,1346846,1338284,1338413,1345403,1362687,1387153,1406249,1415151,1416076,1411053,1400676,1388646,1377565,1365678,1352940,1343038,1334790,1326563,1317948,1304092,1286374,1269241,1253224,1239877,1229348,1221818,1219169,1222502,1236508,1255365,1268431,1275901,1280932,1284315,1288336,1300046,1312038
"Population ages 00-14, total",SP.POP.0014.TO,Azerbaijan,AZE,1592457,1721008,1826140,1918932,2010611,2088066,2157327,2215009,2260801,2297573,2323042,2340706,2348179,2343977,2331115,2309651,2269356,2216659,2168933,2140471,2131924,2131911,2143529,2162539,2190937,2225999,2266313,2315001,2364089,2423390,2478372,2519249,2561179,2598341,2620299,2626068,2619845,2604494,2580378,2543845,2494561,2435724,2372908,2310826,2254931,2207577,2169825,2143605,2148051,2160735,2164509,2184097,2218205,2261488,2308586,2355505,2397995,2426455,2439902,2447294,2444968,2425452,2381310,2317979
"Population ages 00-14, total",SP.POP.0014.TO,"Bahamas, The",BHS,47294,49881,52618,55396,58097,60815,63828,67215,70887,74402,76681,77908,78989,79872,80425,80529,80317,79985,79539,79031,78542,78390,78619,79023,79790,80869,81947,82933,83908,85019,86058,87113,88705,90720,92467,93781,94850,95786,96651,97119,97156,97048,97070,97234,97349,97470,97671,97856,98115,98672,98538,97387,96117,94532,92898,91398,89672,87804,85888,83942,81971,80042,78154,76291
"Population ages 00-14, total",SP.POP.0014.TO,Bahrain,BHR,69197,72440,75773,79224,82774,86372,89854,92972,95700,98082,100135,102609,105706,108683,111451,114143,116902,119837,122976,126312,129789,133237,136559,139966,143687,147792,152319,157315,162815,168784,175009,181408,187297,192056,195979,199272,201937,203896,205401,206818,208267,209581,210282,211839,216080,221617,227234,233193,239241,244397,248194,249110,246782,251068,265377,277458,284642,291268,296414,299858,299911,298172,297195,295360
"Population ages 00-14, total",SP.POP.0014.TO,Bangladesh,BGD,21299284,22044274,22854463,23727999,24659336,25590091,26508919,27456617,28419566,29383752,30235123,30784363,31422439,32324506,33187792,33933344,34578955,35285256,36074232,36913835,37839239,38857039,39917426,40955839,41929446,42816899,43588887,44236575,44819364,45392957,45958069,46359538,46654033,46961558,47238706,47449452,47566600,47679889,47834435,48009362,48200365,48483067,48829061,49150927,49424493,49613868,49723388,49792760,49798436,49703118,49535964,49300535,48966075,48568871,48143480,47666620,47168634,46647833,46111201,45611014,45173820,44799782,44455660,44152676
"Population ages 00-14, total",SP.POP.0014.TO,Barbados,BRB,87373,88383,89625,90580,91354,91789,91775,91450,90813,89864,88630,87162,85518,83737,81835,79820,77750,75758,73984,72458,71093,69880,68891,68121,67503,66924,66255,65433,64474,63489,62554,61739,61129,60665,60268,59919,59585,59174,58687,58301,57913,57478,57176,56940,56611,56125,55570,55159,55125,55271,55184,54845,54372,53788,53096,52289,51441,50655,49959,49326,48765,48260,47667,46876
"Population ages 00-14, total",SP.POP.0014.TO,Belarus,BLR,2547598,2606825,2653112,2681051,2689459,2686577,2678976,2666135,2647207,2620354,2586460,2548999,2508091,2462296,2413273,2361866,2310774,2266800,2234472,2215243,2209615,2215237,2227934,2248101,2271684,2293075,2315479,2336943,2348102,2357270,2357135,2345634,2330275,2306067,2264147,2209554,2148220,2077848,2000768,1923650,1847901,1768816,1688187,1612007,1543252,1486400,1443469,1414989,1401291,1403069,1415457,1433247,1457458,1485669,1513909,1540901,1564612,1579378,1583721,1583707,1579559,1566586,1548087,1526731
"Population ages 00-14, total",SP.POP.0014.TO,Belgium,BEL,2166933,2185217,2195584,2215389,2241748,2267137,2284953,2295089,2295881,2290913,2279793,2269259,2258894,2239199,2211734,2179830,2144211,2106878,2068920,2029688,1993815,1961509,1932942,1907581,1882578,1856788,1832303,1812482,1802825,1801253,1804990,1813403,1821891,1827354,1826737,1820907,1814415,1810079,1806819,1804980,1805037,1805998,1805646,1802777,1799498,1798169,1798564,1801583,1810283,1824709,1844439,1871384,1884455,1894939,1904392,1914607,1922295,1928036,1934402,1938686,1937735,1933517,1932087,1931829
"Population ages 00-14, total",SP.POP.0014.TO,Belize,BLZ,41118,42652,44298,46122,48095,50149,52265,54395,56483,58369,59653,60469,61209,61886,62519,63207,63968,64702,65449,66301,67342,68373,69365,70539,71954,73508,75013,76448,77859,79255,80602,81989,83306,84456,85597,86910,88480,90288,92220,94131,95989,97969,100129,102304,104466,106572,108552,110392,112075,113529,114188,114233,114324,114393,114400,114344,114271,114270,114409,114282,113644,112952,112419,111990
"Population ages 00-14, total",SP.POP.0014.TO,Benin,BEN,965787,989368,1016249,1046822,1083104,1119349,1152604,1186817,1221867,1257845,1294626,1332325,1371026,1410432,1450457,1491333,1532956,1575563,1619401,1665326,1714640,1767400,1822904,1880223,1939432,2000913,2064586,2130544,2198899,2268976,2340994,2415552,2491917,2579283,2669170,2749594,2828845,2909760,2992616,3076854,3161604,3247014,3334338,3425350,3520644,3620230,3721628,3823500,3926325,4025854,4126514,4234230,4347080,4464990,4588894,4718568,4853115,4991036,5128751,5264873,5400214,5533818,5665755,5796516
"Population ages 00-14, total",SP.POP.0014.TO,Bermuda,BMU,14780,15068,15262,15411,15591,15780,15887,16026,16131,16197,16203,15748,15265,14752,14231,13718,13376,13048,12728,12413,12284,12100,11952,11838,11733,11629,11533,11460,11438,11455,11515,11467,11426,11531,11637,11720,11765,11772,11758,11708,11693,11680,11592,11497,11389,11257,11104,10958,10854,10774,10568,10369,10283,10170,10024,9854,9625,9501,9526,9540,9539,9500,9352,9114
"Population ages 00-14, total",SP.POP.0014.TO,Bhutan,BTN,89755,91546,93501,95855,98579,101740,105357,109159,113132,117284,121620,126126,130805,135669,140696,145892,151269,156814,162508,168317,174212,180177,186195,192256,198346,204434,210532,216621,222643,228575,234091,237420,227444,215789,214518,215312,217217,218409,219437,221403,223660,224924,225184,224456,222755,220607,218509,216247,213775,211353,209107,207124,205526,204247,202857,200882,198388,195236,191177,186517,181742,177288,173260,169573
"Population ages 00-14, total",SP.POP.0014.TO,Bolivia,BOL,1512657,1544487,1577255,1612478,1650673,1690157,1730235,1771396,1813574,1856585,1900254,1944656,1989605,2034422,2079477,2125208,2171766,2219479,2268131,2317492,2367400,2417743,2468188,2518393,2568719,2619795,2671603,2724373,2777896,2831347,2884735,2937396,2988270,3034342,3075723,3115741,3155191,3193545,3230939,3268390,3303938,3337375,3368537,3396329,3421506,3444523,3467894,3491953,3515266,3538656,3562369,3585505,3608260,3630272,3649875,3667911,3685958,3703522,3719627,3734391,3748198,3759372,3768393,3776903
"Population ages 00-14, total",SP.POP.0014.TO,Bosnia and Herzegovina,BIH,1266117,1296257,1321166,1340098,1353824,1362682,1366491,1364855,1358008,1347374,1334470,1320942,1307607,1293373,1277226,1259577,1240687,1220806,1200555,1180977,1163604,1150483,1142105,1136753,1132453,1127547,1120950,1112650,1103277,1092521,1079861,1066420,1029092,978190,938453,912270,901395,889644,870784,846770,820173,792980,766065,738950,710806,683964,660033,640441,627866,618355,607042,592032,574424,557358,543159,531982,522937,515306,508610,502109,495240,488002,480802,473272
"Population ages 00-14, total",SP.POP.0014.TO,Botswana,BWA,232626,241161,250029,259279,268047,274398,279025,283627,288159,292599,297382,304180,314078,326245,339657,354067,369620,386253,403738,421888,440499,459137,477128,494541,511979,529641,547517,565090,581514,596345,609509,621024,631438,641181,649973,657125,662168,665641,668605,671588,674616,677711,680095,682041,684891,689292,695406,702690,710607,719129,728819,739907,752092,764733,777173,789205,800894,812532,824131,835194,844664,851974,857557,861882
"Population ages 00-14, total",SP.POP.0014.TO,Brazil,BRA,32224839,33321079,34395220,35435890,36407238,37312928,38173967,38980547,39730141,40432241,41103803,41748422,42366419,42963796,43529620,44071979,44614216,45165503,45735576,46334986,46980237,47673269,48403537,49158863,49907266,50613348,51257326,51835316,52335309,52761160,53108144,53351650,53486667,53536729,53526371,53462769,53345365,53178112,52979710,52744598,52470191,52170303,51833209,51445502,51052131,50686613,50322183,49942930,49528437,49077874,48606841,48123831,47621247,47088031,46588376,46162722,45739960,45345189,45059349,44781759,44418962,44024037,43646865,43291232
"Population ages 00-14, total",SP.POP.0014.TO,British Virgin Islands,VGB,3698,3671,3598,3535,3486,3465,3494,3604,3827,4203,4548,4594,4467,4362,4274,4192,4107,4020,3931,3835,3796,3835,3890,3929,3955,3971,3988,4019,4071,4154,4273,4382,4452,4513,4576,4648,4740,4852,4976,5117,5265,5349,5339,5313,5323,5385,5495,5647,5851,6057,6094,6034,5960,5825,5709,5614,5500,5369,5226,5071,4909,4734,4538,4311
"Population ages 00-14, total",SP.POP.0014.TO,Brunei Darussalam,BRN,39553,42024,44414,46706,48864,50858,52679,54350,55919,57456,59020,60697,62482,64124,65454,66526,67430,68282,69219,70384,71858,73648,75675,77757,79830,81952,84176,86554,89075,91679,94303,97141,100380,103561,106241,108393,109950,110855,111169,111083,110747,110190,109447,108582,107642,106697,105795,104941,104143,103421,102797,102411,102293,102295,102234,101998,101677,101306,100885,100452,100001,99525,99030,98460
"Population ages 00-14, total",SP.POP.0014.TO,Bulgaria,BGR,2060355,2052215,2038268,2020703,2002929,1987921,1975839,1965796,1964334,1972584,1979004,1980481,1979966,1983503,1996610,2006994,2013115,2021016,2018501,2012675,2010696,2005884,1999607,1985574,1963558,1938522,1917344,1903334,1886815,1837789,1773291,1721094,1663776,1610768,1563864,1514172,1465646,1415685,1364000,1317411,1276729,1218101,1158875,1118692,1082269,1052294,1031275,1019280,1013221,1013046,1016599,1019030,1022358,1025523,1021726,1012870,1004658,997805,990275,980935,972082,962521,904849,898326
"Population ages 00-14, total",SP.POP.0014.TO,Burkina Faso,BFA,1909408,1937327,1969254,2010445,2059876,2111191,2163063,2215795,2269612,2323860,2378278,2432938,2488341,2545667,2606090,2670878,2740817,2817368,2901723,2992952,3089512,3190353,3295393,3404988,3520440,3642642,3769094,3897191,4025394,4152734,4279708,4405883,4530016,4651178,4770696,4891374,5014380,5139166,5267241,5399304,5534395,5673413,5817299,5970279,6134792,6310709,6499771,6700252,6910165,7128325,7352611,7582350,7817464,8055498,8293004,8526727,8752944,8968854,9174951,9373448,9564122,9744403,9913646,10073931
"Population ages 00-14, total",SP.POP.0014.TO,Burundi,BDI,1230972,1262843,1296436,1330076,1368525,1403153,1431568,1462662,1495118,1528326,1562758,1599464,1619728,1635019,1667491,1705069,1744177,1786049,1832016,1881316,1942382,2011324,2079781,2151200,2223620,2295853,2366951,2439560,2512717,2585856,2658320,2727624,2798157,2825613,2851319,2909290,2940114,2957111,2979763,3008024,3040204,3081219,3133389,3197615,3277080,3370430,3476505,3595898,3729243,3904212,4095897,4271124,4456391,4651531,4845016,5020548,5177188,5323288,5462495,5593800,5709324,5810391,5899745,5977497
"Population ages 00-14, total",SP.POP.0014.TO,Cabo Verde,CPV,91484,95166,99672,104247,108696,112918,116900,120743,124477,128116,131462,133968,135561,136786,137947,139789,142100,143984,145508,146716,148156,150023,151976,154018,156127,158329,160638,163036,165493,168068,171492,175587,179459,182946,185900,188229,190049,191546,192738,193634,193469,192142,190339,188094,185485,182624,179576,176320,172871,169275,166627,165335,164188,162843,161562,160458,159782,159542,159165,158462,157564,156468,155281,154089
"Population ages 00-14, total",SP.POP.0014.TO,Cambodia,KHM,2454759,2512734,2569309,2622302,2670197,2715998,2761607,2806456,2849850,2891145,2925327,2957574,2997719,3033786,3047455,2959597,2767950,2610515,2533110,2525147,2574356,2654633,2755330,2870534,2997133,3128001,3264705,3408108,3561485,3735855,3934596,4150864,4392967,4639849,4837512,4963571,5038925,5084387,5000919,4893632,4869765,4839432,4807233,4773120,4741685,4712916,4683339,4658686,4635175,4615104,4609819,4623794,4663378,4703917,4732420,4762926,4792943,4818463,4837526,4849867,4857658,4860473,4854064,4839058
"Population ages 00-14, total",SP.POP.0014.TO,Cameroon,CMR,1998193,2050448,2107710,2172062,2245299,2321823,2398703,2479140,2563120,2650360,2741164,2835899,2933713,3034037,3136636,3241281,3347796,3456695,3569688,3687226,3813849,3949693,4082298,4213738,4352956,4498546,4650435,4809024,4971374,5135491,5302073,5469214,5634791,5798144,5957502,6110917,6256015,6393016,6531245,6677724,6827762,6976906,7130303,7294521,7470337,7654393,7845336,8045749,8256357,8476959,8707732,8946586,9190989,9438310,9691183,9954413,10228185,10504681,10774562,11036667,11291870,11540518,11782957,12018356
"Population ages 00-14, total",SP.POP.0014.TO,Canada,CAN,6041366,6191622,6313813,6416557,6498407,6551214,6580581,6580671,6554185,6502406,6426365,6435307,6336402,6237274,6145174,6057697,5963712,5864299,5755067,5650461,5582104,5542095,5530353,5524086,5517554,5503232,5497264,5530121,5577902,5660557,5734748,5803049,5871716,5924949,5959704,5976608,5984398,5979987,5956206,5921329,5885640,5856784,5830909,5794797,5753121,5703421,5660557,5631294,5623444,5625834,5630478,5637757,5667073,5708135,5755486,5797137,5859208,5911107,5963853,6013004,6034522,6016419,6065574,6177149
"Population ages 00-14, total",SP.POP.0014.TO,Caribbean small states,CSS,773570,797283,820237,842388,864475,886495,907843,928207,947102,963680,975058,980387,978991,972501,964733,955873,946270,936186,925767,915053,904957,894676,884125,875214,868210,862890,858419,853971,850276,847994,845979,845158,847134,850463,854505,858313,860876,862773,863813,863861,862859,861003,858699,855380,851612,847711,842622,836803,831166,825707,818084,808459,800225,793769,788545,783516,778387,774129,771946,769251,765204,761847,758123,753907
"Population ages 00-14, total",SP.POP.0014.TO,Cayman Islands,CYM,3040,3154,3279,3408,3527,3630,3724,3810,3887,3948,4041,4187,4336,4468,4579,4671,4743,4794,4816,4821,4886,5009,5117,5217,5311,5404,5487,5554,5620,5707,5840,6002,6170,6354,6552,6760,6972,7177,7367,7551,7796,8076,8324,8554,8764,8959,9141,9320,9497,9676,9882,10102,10282,10418,10539,10662,10799,10962,11130,11275,11369,11436,11518,11586
"Population ages 00-14, total",SP.POP.0014.TO,Central African Republic,CAF,670268,686864,704298,722890,741141,758745,777443,797580,819221,842070,865365,888859,912423,935909,959458,983018,1000547,1012268,1024503,1037463,1051140,1065539,1080596,1096112,1112409,1130037,1149018,1169687,1195486,1232645,1278305,1325390,1372953,1420300,1466547,1508502,1549098,1591386,1633370,1676079,1719467,1755968,1791634,1832732,1873390,1915414,1957893,2001187,2046957,2094976,2144306,2192537,2238069,2280754,2316269,2349570,2388176,2430333,2475058,2523063,2575787,2629448,2685516,2746887
"Population ages 00-14, total",SP.POP.0014.TO,Central Europe and the Baltics,CEB,26541634,26678787,26601121,26432001,26228511,25923689,25536777,25186428,24855686,24531054,24163719,23847123,23697132,23668019,23811000,24103917,24481167,24847148,25125884,25383413,25660326,25937826,26100650,26131469,26160242,26201465,26239155,26233966,26135879,25877627,25478159,24983108,24440252,23925545,23395443,22814552,22224205,21649088,21064161,20460745,19756615,19032966,18347608,17762003,17233489,16779041,16412045,16114693,15913329,15813258,15734239,15679279,15625908,15583585,15548076,15526432,15531727,15581332,15646205,15693482,15698082,15595569,15275524,15155194
"Population ages 00-14, total",SP.POP.0014.TO,Chad,TCD,1228930,1260226,1292808,1326579,1363510,1397884,1427678,1458898,1491746,1526834,1564665,1604878,1650634,1701222,1752020,1802871,1854083,1905432,1956634,2009466,2053953,2092995,2151308,2223258,2286948,2346208,2413341,2487467,2567359,2654333,2744045,2843022,2954605,3064947,3175304,3301117,3443873,3593033,3738372,3880436,4028500,4184299,4341496,4501751,4672381,4848580,5028342,5208982,5389785,5580401,5781358,5984509,6189760,6401977,6619790,6837257,7054294,7275310,7502302,7731412,7958952,8187764,8420211,8655360
"Population ages 00-14, total",SP.POP.0014.TO,Channel Islands,CHI,23164,23476,23709,23888,24045,24239,24516,24866,25250,25620,25996,26371,26587,26539,26272,25811,25359,25003,24557,24002,23413,22949,22658,22426,22202,21973,21877,21965,22103,22302,22564,22942,23416,23817,24113,24271,24469,24743,24920,24977,24901,24925,25083,25167,25165,25084,24951,24830,24722,24607,24524,24503,24543,24618,24667,24732,24765,24906,25326,25832,26190,26350,26374,26349
"Population ages 00-14, total",SP.POP.0014.TO,Chile,CHL,3223537,3294053,3360320,3420995,3477974,3530866,3578122,3622263,3664696,3703880,3736987,3763153,3783735,3800498,3812951,3821405,3826801,3829750,3831917,3832347,3831445,3832116,3834292,3837109,3842980,3854021,3870847,3893354,3920687,3952744,3988777,4026872,4061907,4091310,4116949,4137064,4150172,4155906,4152775,4139460,4116211,4085290,4048099,4002743,3948090,3887557,3825909,3770339,3724223,3685084,3652468,3625197,3602163,3584710,3574549,3569434,3566612,3566762,3572467,3584462,3593501,3597848,3591149,3568143
